Date,Open,High,Low,Close,Volume,Market Cap,SPClose
04/26/2023,28300.06,29995.84,27324.55,28422.7,31854242019,5.50E+11,4055.99
04/25/2023,27514.87,28371.08,27207.93,28307.6,17733373139,5.48E+11,4071.63
04/24/2023,27591.73,27979.98,27070.85,27525.34,17703288330,5.33E+11,4137.04
04/23/2023,27816.14,27820.24,27400.31,27591.38,12785446832,5.34E+11,
04/22/2023,27265.9,27872.14,27169.57,27817.5,13125734602,5.38E+11,
04/21/2023,28249.23,28349.97,27177.37,27276.91,20759504330,5.28E+11,4133.52
04/20/2023,28823.68,29076.4,28037.26,28245.99,21340360360,5.47E+11,4129.79
04/19/2023,30394.19,30411.05,28669.9,28822.68,24571565421,5.58E+11,4154.52
04/18/2023,29449.09,30470.3,29154.85,30397.55,19480529496,5.88E+11,4154.87
04/17/2023,30317.15,30319.2,29275.37,29445.04,17872186762,5.70E+11,4151.32
04/16/2023,30315.98,30555.54,30157.83,30315.36,12854816417,5.87E+11,
04/15/2023,30490.75,30601.74,30245.88,30318.5,11940685378,5.87E+11,
04/14/2023,30409.56,31005.61,30044.5,30485.7,22659995079,5.90E+11,4137.64
04/13/2023,29892.74,30539.85,29878.62,30399.07,17487721001,5.88E+11,4146.22
04/12/2023,30231.58,30462.48,29725.57,30139.05,18651929926,5.83E+11,4091.95
04/11/2023,29653.68,30509.08,29609.3,30235.06,20121259843,5.85E+11,4108.94
04/10/2023,28336.03,29771.46,28189.27,29652.98,19282400094,5.74E+11,4109.11
04/09/2023,27952.37,28532.83,27828.48,28333.05,12175322951,5.48E+11,
04/08/2023,27920.51,28159.86,27883.39,27947.79,9373255556,5.41E+11,
04/07/2023,28038.97,28111.59,27794.03,27925.86,10861680497,5.40E+11,
04/06/2023,28175.23,28178.38,27738.76,28044.14,13837809380,5.42E+11,4105.02
04/05/2023,28169.73,28739.24,27843.76,28177.98,17052315986,5.45E+11,4090.38
04/04/2023,27795.27,28433.74,27681.31,28168.09,15284538859,5.45E+11,4100.6
04/03/2023,28183.08,28475.62,27276.72,27790.22,19556501327,5.37E+11,4124.51
04/02/2023,28462.84,28518.96,27884.09,28199.31,12284641999,5.45E+11,
04/01/2023,28473.33,28802.46,28297.17,28411.03,10876469901,5.49E+11,